Code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
160556,Fish,"Clams, cockles and arkshells, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,41421,44329,47797,45702,45296,45141,49733
030485,Fish,"Frozen fillets of toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,40789,35226,54304,34860,43363,40346,39935
030453,Fish,"Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, ...",0,0,0,0,0,0,0,0,0,0,0,13106,9643,9040,23309,47553,67009,49611
030711,Fish,"Oysters, even in shell, live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,19192,22628,25069,26433,28814,33402,31145
160555,Fish,"Octopus, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,21458,25029,25385,25248,26640,29196,37076
160551,Fish,"Oysters, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,30159,32539,27758,33894,34390,35616,45070
030354,Fish,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",0,0,0,0,0,0,0,0,0,0,0,19967,19766,18142,16998,19140,22750,22542
030792,Fish,"Molluscs, even in shell, frozen (excl. oysters, scallops of the genera Pecten, Chlamys or Placopecten, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13221,20582
160432,Fish,Caviar substitutes prepared from fish eggs,0,0,0,0,0,0,0,0,0,0,0,10045,11281,11372,13262,15075,15504,19243
030821,Fish,"Live, fresh or chilled, sea urchins ""Strongylocentrotus spp., Paracentrotus lividus, Loxechinus ...",0,0,0,0,0,0,0,0,0,0,0,7426,6163,6894,11722,14007,16261,17917
030482,Fish,"Frozen fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,21727,19290,24152,22352,20714,28252,21951
030616,Fish,"Frozen cold-water shrimps and prawns ""Pandalus spp., Crangon crangon"", even smoked, whether ...",0,0,0,0,0,0,0,0,0,0,0,295672,120586,36590,26926,26057,27673,26160
030484,Fish,"Frozen fillets of swordfish ""Xiphias gladius""",0,0,0,0,0,0,0,0,0,0,0,20106,11850,13524,17191,18343,25945,22798
030364,Fish,"Frozen haddock ""Melanogrammus aeglefinus""",0,0,0,0,0,0,0,0,0,0,0,32125,25694,22450,20896,20275,21812,29332
160553,Fish,"Mussels, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,0,11657,13193,17570,22471,25720,23304,18715
160431,Fish,Caviar,0,0,0,0,0,0,0,0,0,0,0,7388,9134,7763,11490,13470,16537,17881
030771,Fish,"Live, fresh or chilled, even in shell, clams, cockles and ark shells ""families Arcidae, Arcticidae, ...",0,0,0,0,0,0,0,0,0,0,0,18195,21143,20960,21654,21847,19775,18823
030313,Fish,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",0,0,0,0,0,0,0,0,0,0,0,12900,15458,22262,17118,25210,23191,20906
030285,Fish,"Fresh or chilled sea bream ""Sparidae""",0,0,0,0,0,0,0,0,0,0,0,3612,4767,4783,5357,7056,7782,16009
030772,Fish,"Frozen, even in shell, clams, cockles and ark shells ""families Arcidae, Arcticidae, Cardiidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12024,16658
160569,Fish,"Aquatic invertebrates, prepared or preserved (excluding smoked, crustaceans, molluscs, sea ...",0,0,0,0,0,0,0,0,0,0,0,24245,17848,19006,19847,19387,17200,17874
030443,Fish,"Fresh or chilled fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...",0,0,0,0,0,0,0,0,0,0,0,14819,18080,16285,19701,19758,21689,15820
030712,Fish,"Oysters, even in shell, frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,11332
