HS Code 6,Konsumsi-Non Konsumsi,Olahan-Non Olahan,Asal Bahan Baku,Komoditas,Komoditas 1,Komoditas 2,Group_Commodities,Commodities,Sebaran Habitat,Bentuk,Form,Uraian 2017
230110,N,O,Perikanan Tangkap,Tepung Ikan-Pellet,Tepung Ikan-Pellet,Lainnya,Other Fish,"Flours, Meals, Pellets",Tropis,Tidak Layak Untuk Konsumsi Manusia,Unfit For Human Consumption,"Tepung, tepung kasar dan pelet, dari daging atau sisanya; greaves, tidak layak untuk konsumsi manusia"
230120,N,O,Perikanan Tangkap,Tepung Ikan-Pellet,Tepung Ikan-Pellet,Lainnya,Other Fish,"Flours, Meals, Pellets",Tropis,Tidak Layak Untuk Konsumsi Manusia,Unfit For Human Consumption,"Tepung, tepung kasar dan pelet dari ikan, dengan kandungan protein kurang dari 60% menurut beratnya/Flours, meals and pellets of fish, with a protein content of less than 60% by weight"
230990,N,O,Perikanan Tangkap,Tepung Ikan-Pellet,Tepung Ikan-Pellet,Lainnya,Other Fish,"Flours, Meals, Pellets",Tropis,Tidak Layak Untuk Konsumsi Manusia,Unfit For Human Consumption,Makanan lengkap dari jenis yang cocok untuk udang/Complete feed  of a kind suitable for prawns
030272,K,N,Perikanan Budidaya,Catfish,Catfish,Lainnya,Other Fish,Catfish,Tropis,Segar Atau Dingin,Fresh Or Chilled,Catfish ekor kuning (Pangasius pangasius) segar atau dingin/Yellowtail catfish (Pangasius pangasius) fresh or chilled
030324,K,N,Perikanan Budidaya,Catfish,Catfish,Lainnya,Other Fish,Catfish,Tropis,Beku,Frozen,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.) beku/Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.) fozen"
030432,K,O,Perikanan Budidaya,Catfish,Catfish,Lainnya,Other Fish,Catfish,Tropis,Fillet,Fillets,"NA"
030462,K,O,Perikanan Budidaya,Catfish,Catfish,Lainnya,Other Fish,Catfish,Tropis,Fillet,Fillets,"Fillet catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), beku"
030520,K,O,Perikanan Budidaya,Hati-Telur Ikan,Hati-Telur Ikan,Lainnya,Other Fish,Livers And Roes Of Fish,Tropis,"Diasinkan Atau Dalam Air Garam, Dikeringkan, Diasapi","Salted Or In Brine, Dried, Smoked","Hati dan telur ikan air tawar, dikeringkan, diasapi, diasinkan atau dalam air garam/Livers and roes of freshwater fish, dried, smoked, salted or in brine"
030760,K,N,Perikanan Budidaya,Siput (Selain Siput Laut),Siput (Selain Siput Laut),Lainnya,Other Fish,Snails (Other Than Sea Snails),Tropis,Hidup,Live,"Siput (selain siput laut) hidup/Snails (other than sea snails), live"
160558,K,O,Perikanan Budidaya,Siput (Selain Siput Laut),Siput (Selain Siput Laut),Lainnya,Other Fish,Snails (Other Than Sea Snails),Tropis,Diolah-Diawetkan,Prepared Or Preserved,"Siput (selain siput laut) diolah atau diawetkan/Snails (other than sea snails), prepared or preserved"
