Product code,Categories,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030363,Fish,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030364,Fish,"Frozen haddock ""Melanogrammus aeglefinus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030365,Fish,"Frozen coalfish ""Pollachius virens""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030366,Fish,"Frozen hake ""Merluccius spp., Urophycis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030367,Fish,"Frozen Alaska pollack ""Theragra chalcogramma""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030368,Fish,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030372,Fish,Frozen haddock (Melanogrammus aeglefinus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030373,Fish,Frozen coalfish (Pollachius virens),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030377,Fish,"Frozen sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030378,Fish,"Frozen hake (Merluccius spp., Urophycis spp.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030381,Fish,Frozen dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030383,Fish,"Frozen toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030384,Fish,"Frozen sea bass ""Dicentrarchus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030390,Fish,Frozen fish livers and roes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030391,Fish,"Frozen fish livers, roes and milt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030392,Fish,Frozen shark fins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030399,Fish,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030433,Fish,"Fresh or chilled fillets of Nile perch ""Lates niloticus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030441,Fish,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030444,Fish,"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030446,Fish,"Fresh or chilled fillets of toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030447,Fish,Fresh or chilled fillets of dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030448,Fish,"Fresh or chilled fillets of rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030451,Fish,"Fresh or chilled meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030452,Fish,"Fresh or chilled meat, whether or not minced, of salmonidae (excluding fillets)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030462,Fish,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030463,Fish,"Frozen fillets of Nile perch ""Lates niloticus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030471,Fish,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030472,Fish,"Frozen fillets of haddock ""Melanogrammus aeglefinus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030475,Fish,"Frozen fillets of Alaska pollack ""Theragra chalcogramma""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030485,Fish,"Frozen fillets of toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030488,Fish,"Frozen fillets of dogfish, other sharks, rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030494,Fish,"Frozen meat, whether or not minced, of Alaska pollack ""Theragra chalcogramma"" (excluding fillets)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030495,Fish,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030532,Fish,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030542,Fish,"Smoked herring ""Clupea harengus, Clupea pallasii"", incl. fillets (excluding offal)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030543,Fish,"Smoked trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030544,Fish,"Smoked tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
