Product code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
030261,"Fresh or chilled sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030262,Fresh or chilled haddock (Melanogrammus aeglefinus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030263,Fresh or chilled coalfish (Pollachius virens),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030264,"Fresh or chilled mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030265,Fresh or chilled dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030266,Fresh or chilled eels (Anguilla spp.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030267,Fresh or chilled swordfish (Xiphias gladius),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030269,"Fresh or chilled freshwater and saltwater fish (excluding salmonidae, flat fish, tunas, skipjack ...",0,4,7,4,0,0,0,0,6,4,0,0,0,0,0,0,0,0
030270,Fresh or chilled fish livers and roes,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
030271,"Fresh or chilled tilapia ""Oreochromis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030272,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030273,"Fresh or chilled carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030274,"Fresh or chilled eels ""Anguilla spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030279,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030281,Fresh or chilled dogfish and other sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030282,"Fresh or chilled, rays and skates ""Rajidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030284,"Fresh or chilled sea bass ""Dicentrarchus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030285,"Fresh or chilled sea bream ""Sparidae""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030289,"Fresh or chilled fish, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030290,Fresh or chilled fish livers and roes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030291,"Fresh or chilled fish livers, roes and milt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030292,Fresh or chilled shark fins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030310,"Frozen Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus ...",17,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
030311,"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka""",0,0,0,0,0,0,0,0,0,0,0,0,306,187,0,105,0,508
030312,"Frozen Pacific salmon (excluding sockeye salmon ""red salmon"")",0,0,0,0,0,0,0,0,0,0,0,0,411,465,160,386,588,0
030313,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",0,0,0,0,0,0,0,0,0,0,0,0,28,0,82,0,0,0
030314,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030319,"Frozen salmonidae (excluding trout and Pacific, Atlantic and Danube salmon)",0,0,0,0,0,0,0,0,0,0,436,264,0,0,0,0,0,0
030321,"Frozen trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
030322,Frozen Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
030323,"Frozen tilapia ""Oreochromis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030324,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030326,"Frozen eels ""Anguilla spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030329,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)",10,129,0,0,0,24,0,0,106,25,0,136,0,0,0,0,0,0
030331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus ...",0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,10
030332,"Frozen plaice ""Pleuronectes platessa""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030333,"Frozen sole ""Solea spp.""",0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0
030334,"Frozen turbot ""Psetta maxima""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030339,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" ...",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
030341,"Frozen albacore or longfinned tunas ""Thunnus alalunga""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030342,"Frozen yellowfin tunas ""Thunnus albacares""",0,0,0,25,0,11,138,7,44,0,690,0,0,0,0,279,236,0
030343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030344,"Frozen bigeye tunas ""Thunnus obesus""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030345,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030346,"Frozen Southern bluefin tunas ""Thunnus maccoyii""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030349,"Frozen tunas of the genus ""Thunnus"" (excluding Thunnus alalunga, Thunnus albacares, Thunnus ...",73,0,0,25,16,33,49,107,166,38,51,0,106,0,0,0,0,0
030350,"Frozen herrings ""Clupea harengus, Clupea pallasii""",0,34,40,39,15,0,0,0,0,0,0,0,0,0,0,0,0,0
030351,"Frozen herrings ""Clupea harengus, Clupea pallasii""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030352,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",0,0,0,0,0,0,0,0,0,138,547,0,0,0,0,0,0,0
030353,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling ...",0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0
030354,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""",0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
030355,"Frozen jack and horse mackerel ""Trachurus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030356,"Frozen cobia ""Rachycentron canadum""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030357,"Frozen swordfish ""Xiphias gladius""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030359,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
